iter	TotalF1	MultiClass
262	0.9602580101	0.1117237017
263	0.9603222506	0.1116455428
264	0.9603200304	0.1115579288
265	0.9603282607	0.1114772378
266	0.9603514151	0.1113791722
267	0.9603840084	0.1113000122
268	0.9603868555	0.1112318489
269	0.9604130435	0.1111568041
270	0.9604676328	0.1110102597
271	0.9605298568	0.1108934926
272	0.9605303488	0.1108239743
273	0.9605284331	0.1107420784
274	0.9605260909	0.1106778152
275	0.9605713985	0.1105972736
276	0.9605805371	0.1105142429
277	0.960613461	0.1104162157
278	0.9606378485	0.1103462655
279	0.960652988	0.1102594211
280	0.9607026216	0.1101720017
281	0.9607137684	0.110096525
282	0.96072753	0.1100313683
283	0.960741695	0.1099694427
284	0.9607638183	0.1099126159
285	0.9607665911	0.109837394
286	0.9607904163	0.1097727803
287	0.9608385949	0.1096506642
288	0.9608555202	0.1095983127
289	0.9608589389	0.1095255232
290	0.9608626781	0.109470186
291	0.9608930195	0.1093544459
292	0.9609421486	0.1092886356
293	0.9609514691	0.1092418973
294	0.9609837233	0.109188042
295	0.9610078735	0.1091256551
296	0.9609908698	0.1090499116
297	0.9610050312	0.1089785904
298	0.9610455819	0.1088766454
299	0.9610648486	0.1088026667
300	0.9610897568	0.1086783681
301	0.9611065211	0.1086358947
302	0.9611332657	0.1085897656
303	0.9611417243	0.1085439182
304	0.961141974	0.108479042
305	0.961172195	0.1084200776
306	0.9611811698	0.1083584839
307	0.9612078054	0.1082724693
308	0.9612190123	0.1082196182
309	0.9612624517	0.1081246961
310	0.9613054301	0.1080580722
311	0.9612971111	0.1080233879
312	0.9613273464	0.107937571
313	0.9613460973	0.1078571667
314	0.9613542498	0.1078072085
315	0.9613916584	0.1077476807
316	0.9614002571	0.1076973836
317	0.9613889616	0.1076664329
318	0.9613978006	0.1076127977
319	0.9614169275	0.1075640148
320	0.9614222807	0.1075214759
321	0.9614492423	0.1074900438
322	0.9614501781	0.1074156004
323	0.961460451	0.1073544942
324	0.9614815612	0.1073176496
325	0.961456968	0.1072732959
326	0.9615200108	0.1071866969
327	0.9615365038	0.1071357736
328	0.9615668422	0.1070806143
329	0.9615850531	0.1070312954
330	0.9616049353	0.1069938649
331	0.9616615371	0.1069163671
332	0.9616702501	0.1068529085
333	0.9617053635	0.1067748441
334	0.9617027283	0.106724744
335	0.9617220297	0.1066760226
336	0.9617570869	0.1066156038
337	0.9617679225	0.1065846089
338	0.9617924818	0.1065112204
339	0.9618060534	0.1064605208
340	0.9618009047	0.10640629
341	0.9618379328	0.1063369733
